学号,姓名,班级,数学,语文,英语,物理,化学,生物,政治,历史,地理
STU0071,学生71,班级C,150.0,83.3,77.4,60.9,96.0,,82.1,77.1,70.7
STU0072,学生72,班级B,81.0,92.2,70.5,86.2,64.5,100.0,62.6,100.0,56.4
STU0073,学生73,班级B,69.7,-10.0,93.4,99.4,96.9,49.7,81.2,63.4,89.6
STU0074,学生74,班级B,91.6,79.5,67.0,58.5,64.3,63.6,75.5,90.5,76.6
STU0075,学生75,班级B,57.4,56.5,85.4,100.0,76.4,64.8,60.1,84.4,98.8
STU0076,学生76,班级B,70.4,67.0,53.9,76.1,86.7,63.8,78.4,82.6,
STU0077,学生77,班级B,58.9,61.7,76.3,85.6,100.0,58.0,78.8,75.0,68.4
STU0078,学生78,班级C,92.5,-10.0,84.0,57.2,69.7,75.8,77.6,100.0,70.5
STU0079,学生79,班级C,37.1,76.0,82.6,75.8,31.7,79.4,83.1,55.8,64.7
STU0080,学生80,班级B,74.1,66.5,68.8,79.5,65.6,52.0,88.7,59.3,71.9
STU0081,学生81,班级C,67.4,57.4,,86.4,69.1,74.8,76.6,,60.1
STU0082,学生82,班级A,74.5,57.1,74.4,40.5,68.3,79.3,78.1,92.1,58.2
STU0083,学生83,班级B,73.7,88.8,79.1,87.0,57.1,75.9,71.6,76.4,63.0
STU0084,学生84,班级A,150.0,85.2,92.4,79.2,64.4,84.1,94.7,79.2,61.1
STU0085,学生85,班级A,66.2,75.6,96.8,100.0,62.2,80.4,66.1,55.8,83.7
STU0086,学生86,班级B,77.2,78.2,72.5,79.6,79.0,87.6,62.8,88.3,86.0
STU0087,学生87,班级C,79.9,,73.6,73.7,75.5,52.6,100.0,91.1,100.0
STU0088,学生88,班级A,84.4,65.7,,87.4,61.1,94.3,68.7,85.8,96.7
STU0089,学生89,班级B,,96.8,53.3,58.4,62.7,43.6,49.5,96.9,92.5
STU0090,学生90,班级A,66.4,100.0,70.6,100.0,100.0,65.6,87.4,91.7,65.3
STU0091,学生91,班级A,33.4,87.0,62.4,73.0,77.8,83.7,69.8,78.9,93.0
STU0092,学生92,班级A,45.9,,,67.1,86.6,90.5,72.1,72.1,95.9
STU0093,学生93,班级A,78.1,69.3,88.5,86.7,80.9,66.4,60.4,61.6,62.4
STU0094,学生94,班级C,61.2,67.1,74.8,76.5,58.0,78.7,76.3,73.4,65.9
STU0095,学生95,班级A,58.3,83.5,76.2,80.2,68.6,66.9,90.3,100.0,70.6
STU0096,学生96,班级A,77.3,73.8,62.6,68.3,100.0,64.3,76.1,65.3,74.1
STU0097,学生97,班级A,64.4,67.3,53.3,76.4,69.6,82.7,74.1,64.0,60.4
STU0098,学生98,班级C,74.9,94.6,66.5,47.5,78.0,92.8,83.1,56.7,76.8
STU0099,学生99,班级A,87.5,68.6,66.8,67.3,72.0,57.6,77.9,78.6,79.0
STU0100,学生100,班级A,74.3,,71.2,100.0,78.4,62.9,83.9,100.0,80.3
STU0063,学生63,班级B,72.6,90.9,57.7,79.8,87.1,56.3,51.7,70.9,43.6
STU0005,学生5,班级A,82.2,71.1,80.1,74.9,63.4,86.6,96.1,95.9,67.6
STU0077,学生77,班级B,58.9,61.7,76.3,85.6,100.0,58.0,78.8,75.0,68.4
STU0067,学生67,班级B,58.9,85.0,63.4,79.4,90.1,71.2,83.5,80.3,90.7
STU0029,学生29,班级C,75.4,76.9,68.1,65.6,62.6,66.8,37.5,85.3,80.9
